artist_mbid,name
fadeb38c-833f-40bc-9d8c-a6383b38b1be,Доктор Сатана
49add228-eac5-4de8-836c-d75cde7369c3,Pete Moutso
165a49a0-2b3b-4078-a3c1-905afdc07c0a,Babyglock
7b4a548e-a01a-49b7-82e7-b49efeb9732c,Aric Leavitt
60aca66f-e91a-4cb5-9308-b6e293cd833e,Fonograff
3e1bd546-d2a7-49cb-b38d-d70904a1d719,Al Street
df120895-f6c6-4a66-b9cf-73350f0beb61,Love .45
c14f8d3f-ee81-416f-800f-8eff7e77a2e1,Sintellect
b68a3969-319a-462f-942b-cd35581414fc,Evie Tamala
2c8ae2e0-3934-440e-81f5-2ec7fd0d7899,Jean-Pierre Martin
ac63d693-7b24-4258-a3db-09743b1b4269,Deejay One
4c4b7c6f-9285-4d6a-bc10-e5c9e08045f8,wecamewithbrokenteeth
055f435f-dba6-4156-9050-6ac41113e45f,The Blackbelt Band
ab1b631b-9896-4433-bef9-7868bf8a42f3,Giant Tomo
66de1369-f9eb-43cb-ae4f-88582a47a624,Elvin Jones & Jimmy Garrison Sextet
1fbb9556-b647-498a-a8ed-d3b5e8d7f85c,Tobias Lorsbach
e6895f6e-f636-4ff6-b406-f5ddaf6cb243,Diskobitch
4eee2c60-c2c8-4b33-b14f-0eed4bf4d11a,Seanews
302d69b6-4ed9-48ec-b6dd-1c70e765b327,CyberDog
0a681531-3fd0-4f49-9cd9-c9e0dbc8dbf1,Serge Bec
73a9e884-168b-4c52-8d41-6ca6b2d4744a,Thirteen Over Eight
7a420d61-01bc-4dd9-bda8-da6512630946,Astolat
0c1ad3d9-59f8-4d1d-baa6-713bae024367,The Insignificant
294f4d52-ba2e-423f-99ef-1ebf5ff3116a,The Wanderers
b1711842-1caa-4912-8853-85a34e8b7bfe,Jo Jo
cc9338e8-409e-4489-9e5e-847098812cc7,Project/Object
646e7d73-5aec-4208-b568-5d804c53c736,Imagimusic
3175ff46-8e09-4562-ace2-0e557e0fff42,Disappointment Incorporated
bc81d56d-4f7c-47ab-9731-14830c766f5d,Bruno Macedo
872a1247-c0d8-4970-b608-6752db0e532b,Stereobate
9b9dd43a-d90e-4678-8408-9ccaf9f9669a,Sailing Conductors
103ae4e4-a9d0-41c7-beb8-807107adca91,Organelle
b8bec4c5-b049-4ea7-874f-0ef9c712803a,Jumbo Jets
ac397e3f-cacd-4afd-a67e-5e220a69847b,Q Text
528f9148-d45e-4266-9ef2-20bb8dd4767f,Seppoko
7366e2ae-f370-49cf-8504-734616bbe584,DJ Reverend
ffb8763a-9a27-4aa0-b39b-6a0d2fb8725e,Current
5c658f3c-0949-4222-b01b-588b7b20a596,Allison Williams
01cbe29b-c3e5-4d65-b0b4-a36a9f636e97,Blooz
118ef670-ea6a-4bfe-95a0-6a1f1691b7e7,Dr. I-Bolit
7127f6b8-4a31-45f3-b9a9-e15b4205e573,Grvty
7c2c1a99-8afb-4760-8d9d-d3825d275977,Peacemaker
