rank,artist_id,artist_name,similarity_score
1,3a51b862-0144-40f6-aa17-6aaeefea29d9,Steven Wilson,0.9999999403953552
2,e8f55abb-a6d5-4e5f-81b4-14f9cc320519,The Pineapple Thief,0.8998010754585266
3,169c4c28-858e-497b-81a4-8bc15e0026ea,Porcupine Tree,0.870918333530426
4,28503ab7-8bf2-4666-a7bd-2644bfc7cb1d,Dream Theater,0.8094789385795593
5,"3a51b862-0144-40f6-aa17-6aaeefea29d9,0278afe6-a670-4022-acc3-09c0519dea8c",Unknown Artist,0.8054664731025696
6,985c5cc9-2dc1-49ac-8806-5b66586a2d58,Riverside,0.8054119348526001
7,534ee493-bfac-4575-a44a-0ae41e2c3fe4,Rush,0.805122971534729
8,1932f5b6-0b7b-4050-b1df-833ca89e5f44,Marillion,0.8050942420959473
9,a2e55cf5-ca3a-4c26-ba62-fc4a4f2bc603,Leprous,0.8033135533332825
10,c14b4180-dc87-481e-b17a-64e4150f90f6,Opeth,0.8032910227775574
11,20aa23e3-3532-42ca-acf6-e8c2e9df2688,Anathema,0.8020885586738586
12,ece57992-dc2e-4f67-a269-fa43626c1a3d,Jethro Tull,0.799040675163269
13,79491354-3d83-40e3-9d8e-7592d58d790a,Deep Purple,0.7981312870979309
14,c7423e0c-ab3e-4ab4-be10-cdff5a9d3062,Blue Öyster Cult,0.7977456450462341
15,8e3fcd7d-bda1-4ca0-b987-b8528d2ee74e,Genesis,0.7977164387702942
16,7a42f70d-7c01-46d2-bd88-738967a631f0,Soen,0.7968325614929199
17,8e66ea2b-b57b-47d9-8df0-df4630aeb8e5,Peter Gabriel,0.7960280179977417
18,1dce970e-34bc-48b2-ab51-48d87544a4c2,David Gilmour,0.7947903275489807
19,94b7a39b-f3cc-4796-90dd-b1786a62877e,Camel,0.7925047874450684
20,fd529c0d-4a5c-479d-bbb8-601cefe2b38b,VOLA,0.7902902364730835
