rank,artist_id,artist_name,similarity_score
1,46eb0fb7-9725-43af-97d7-6c717682a799,The Midnight,1.0
2,3452247c-719a-4a77-8d98-bf55becb449a,Timecop1983,0.8997470140457153
3,6a93afbb-257f-4166-b389-9f2a1e5c5df8,CHVRCHES,0.8734892010688782
4,571fb58d-b957-4cfc-8c7d-5cbf13519227,Waveshaper,0.8692255020141602
5,303abdee-ffca-4685-a582-6aaaefd81b01,Carpenter Brut,0.860599935054779
6,f7162d10-a087-46db-b6c8-6021d9c2bf4d,Miami Nights 1984,0.8584263324737549
7,6d7b7cd4-254b-4c25-83f6-dd20f98ceacd,M83,0.8568738698959351
8,eb6de5f6-98f8-4b5a-bfdc-f87fa4936baa,Kavinsky,0.8565507531166077
9,df1356d3-3c66-48bc-ac79-475c6cf76266,GUNSHIP,0.8557020425796509
10,5a2b9dd6-b605-4f90-9b08-fa4f54e40330,Mitch Murder,0.8555328249931335
11,fdb53441-e5e6-4657-9aad-8dab672e1cdc,Purity Ring,0.8488343954086304
12,2bcf2e02-5bc3-4c76-bf76-41126cb11444,Ghost,0.8400288820266724
13,d7604213-38a4-4372-b682-16f9b831d3a8,HOME,0.8395056128501892
14,7e5a2a59-6d9f-4a17-b7c2-e1eedb7bd222,Grimes,0.8389801979064941
15,2e222fce-02ae-4221-b1c6-3c3242b423b6,ODESZA,0.8388720750808716
16,ac7e838c-3d95-47c2-92a9-81767ad7c217,Empire of the Sun,0.8378905057907104
17,4a00ec9d-c635-463a-8cd4-eb61725f0c60,deadmau5,0.8353033065795898
18,4449ccf6-c948-4d33-aa97-b6ad98ce4b5b,Metric,0.8325764536857605
19,e6de1f3b-6484-491c-88dd-6d619f142abc,Hans Zimmer,0.8312640190124512
20,5e114cdf-10f8-4d0b-a974-4b86491b1c7e,Trevor Something,0.830436110496521
